"","black_PAIR","native_american_PAIR","asian_PAIR","pacific_islander_PAIR","ID","black_PAAD","native_american_PAAD","asian_PAAD","pacific_islander_PAAD","Year","State","black_CAP","asian_CAP","pacific_islander_CAP","native_american_CAP","black_per_pop","asian_per_pop","pacific_islander_per_pop","native_american","black_PAIMI","native_american_PAIMI","asian_PAIMI","pacific_islander_PAIMI"
"1",0.42623,0,0.01639,0,"Alabama, 2017",0.35754,0,0,0,2017,"Alabama",0.4545,0,0,0,0.2649,0.0144,5e-04,0.0056,0.45116,0,0.00465,0
"2",0,0.13699,0.0274,0.76712,"Alaska, 2017",0,0.15789,0.02632,0,2017,"Alaska",0.0556,0,0,0.22222,0.0336,0.0634,0.013,0.1452,0.07018,0.19298,0,0
"3",0.08057,0.01422,0.01422,0.00948,"Arizona, 2017",0.09524,0.01323,0.02116,0.00265,2017,"Arizona",0.1111,0.0222,0,0.02222,0.043,0.0335,0.0019,0.0398,0.09474,0.04561,0.00351,0
"4",0.33333,0,0,0,"Arkansas, 2017",0.25664,0,0,0,2017,"Arkansas",0.4444,0,0,0,0.1543,0.0159,0.003,0.0075,0.33884,0,0.01653,0.00826
"5",0.15854,0.00854,0.02927,0.01402,"California, 2017",0.10852,0.00666,0.04527,0.01465,2017,"California",0.2271,0.0485,0.0139,0.01524,0.0563,0.1449,0.0037,0.0042,0.17304,0.02163,0.06656,0.00832
"6",0.10448,0,0,0,"Colorado, 2017",0.06867,0.01288,0.01288,0.00429,2017,"Colorado",0.1724,0,0,0,0.04,0.0323,0.0013,0.0064,0.27174,0.01087,0.01087,0
"7",0.20588,0,0,0,"Connecticut, 2017",0.08696,0,0,0,2017,"Connecticut",0.1132,0.0377,0,0,0.1012,0.0466,4e-04,0.0022,NA,NA,NA,NA
"8",0.36552,0,0,0.03448,"Delaware, 2017",0.30994,0,0.0117,0,2017,"Delaware",0.3684,0,0,0,0.2174,0.0393,4e-04,0.0031,0.31034,0,0.01149,0
"9",0.9,0,0,0,"District of Columbia, 2017",0.77632,0,0,0,2017,"District of Columbia",0.8889,0,0,0,0.4552,0.0418,5e-04,0.002,0.84058,0.00725,0.00725,0
"10",0.07692,0.00513,0.01026,0,"Florida, 2017",0.13586,0.00445,0.01559,0.00223,2017,"Florida",0.2524,0.0049,0.0049,0.00485,0.1556,0.0279,6e-04,0.0025,0.41509,0.00943,0,0
"11",0.58654,0.01923,0,0,"Georgia, 2017",0.38356,0,0.00913,0,2017,"Georgia",0.4368,0.0345,0,0.01149,0.3134,0.0411,6e-04,0.0023,0.55085,0,0.00847,0
"12",0.0122,0,0.19512,0.09756,"Hawaii, 2017",0.02672,0,0.14122,0.0687,2017,"Hawaii",0,0.1042,0.0625,0,0.0195,0.3648,0.0946,0.0021,0.03302,0.00472,0.16509,0.08019
"13",0,0.08,0,0,"Idaho, 2017",0.00885,0.0177,0.00885,0,2017,"Idaho",0,0,0,0.03448,0.0073,0.0145,0.0017,0.0111,0.02,0.03,0,0.01
"14",0.31723,0.00644,0.02415,0,"Illinois, 2017",0.22602,0.00131,0.03811,0,2017,"Illinois",0.4118,0,0,0.02941,0.1408,0.056,3e-04,0.0015,0.31291,0.00875,0.00656,0.00219
"15",0.14286,0,0,0,"Indiana, 2017",0.09524,0,0.0068,0,2017,"Indiana",0.2444,0,0,0,0.0942,0.0232,4e-04,0.0023,0.21,0,0,0
"16",0.06122,0,0.02041,0,"Iowa, 2017",0.05479,0,0.0137,0,2017,"Iowa",0.1333,0,0,0,0.0367,0.0256,0.001,0.003,0.19512,0,0,0
"17",0.10927,0.01656,0.01325,0,"Kansas, 2017",0.09254,0.01194,0.00896,0,2017,"Kansas",0.2051,0,0,0,0.0577,0.0301,9e-04,0.0079,0.12469,0.02244,0.00499,0.00249
"18",0.18333,0,0,0,"Kentucky, 2017",NA,NA,NA,NA,2017,"Kentucky",0.1176,0,0,0,0.0813,0.0154,6e-04,0.0021,0.17241,0,0,0
"19",0.3956,0.01099,0.01099,0,"Louisiana, 2017",0.30841,0.00467,0,0,2017,"Louisiana",0.4198,0.0123,0,0.01235,0.3221,0.0173,4e-04,0.0064,0.52991,0,0,0
"20",0.00719,0,0.00719,0,"Maine, 2017",0.01603,0.01002,0.002,0,2017,"Maine",0.0367,0.0092,0,0,0.0152,0.012,3e-04,0.0066,0.02283,0.02283,0,0
"21",0.60104,0,0.01554,0,"Maryland, 2017",0.37,0,0.025,0,2017,"Maryland",0.4828,0.0086,0,0.00862,0.2973,0.0648,5e-04,0.0024,0.60839,0.01399,0.02098,0
"22",0.08,0.02,0.02667,0,"Massachusetts, 2017",0.09783,0.01087,0.03804,0,2017,"Massachusetts",0.1333,0.0111,0,0.03333,0.0716,0.0683,4e-04,0.0018,0.09804,0.00654,0.02614,0
"23",0.27273,0,0,0.01818,"Michigan, 2017",0.30939,0.03315,0.01657,0,2017,"Michigan",0.4167,0.0104,0,0.02083,0.138,0.0323,3e-04,0.0057,0.26786,0.01786,0.01786,0.65179
"24",0.19091,0.00606,0.02727,0.01212,"Minnesota, 2017",0.11589,0.0298,0.04305,0.00331,2017,"Minnesota",0.0926,0,0,0.03704,0.0637,0.0497,5e-04,0.0107,0.21026,0.03077,0.02564,0.01538
"25",0.44068,0,0,0,"Mississippi, 2017",0.46012,0,0,0,2017,"Mississippi",0.3636,0,0,0,0.3741,0.0103,4e-04,0.0049,0.47826,0,0,0
"26",0.2449,0.02041,0,0,"Missouri, 2017",0.20109,0.00543,0.00543,0,2017,"Missouri",0.2381,0.0159,0,0.01587,0.1161,0.0203,0.0012,0.0043,NA,NA,NA,NA
"27",0,0.09167,0,0.8,"Montana, 2017",0.01639,0.16393,0,0,2017,"Montana",0,0,0,0.12121,0.0053,0.0086,7e-04,0.0612,0.00909,0.07273,0,0
"28",0.11111,0,0,0,"Nebraska, 2017",0.02778,0.02778,0,0,2017,"Nebraska",0.1053,0,0,0,0.0477,0.0252,6e-04,0.0083,0.1,0.05,0,0
"29",0.09375,0.03125,0.03125,0,"Nevada, 2017",0.06897,0,0.01724,0,2017,"Nevada",0.25,0.0357,0,0,0.0895,0.0813,0.0062,0.0086,0.375,0.025,0.05,0
"30",0.00654,0,0.03922,0,"New Hampshire, 2017",0.02492,0.00312,0.02181,0,2017,"New Hampshire",0,0.0833,0,0,0.0136,0.0291,3e-04,0.0021,0.01327,0.00442,0.00442,0
"31",0.22943,0,0.01108,0,"New Jersey, 2017",0.12485,0.00122,0.02448,0,2017,"New Jersey",0.2549,0.0294,0,0,0.1291,0.0961,3e-04,0.0014,0.25597,0,0.01365,0.00341
"32",0,0.06452,0,0,"New Mexico, 2017",0.00741,0.07407,0,0,2017,"New Mexico",0.04,0.04,0,0.08,0.0182,0.0152,7e-04,0.0882,0.07075,0.00472,0.00943,0
"33",0.23529,0,0.01557,0.00173,"New York, 2017",0.19858,0,0.00355,0,2017,"New York",0.3003,0.0363,0,0.0099,0.1451,0.0863,5e-04,0.0029,0.29944,0,0.01695,0.0113
"34",0.20561,0.00935,0,0,"North Carolina, 2017",0.21154,0.00481,0.00962,0,2017,"North Carolina",0.3861,0,0,0.0297,0.2139,0.0296,6e-04,0.0113,0.35,0.01667,0.00833,0
"35",0.01163,0.13953,0.01163,0,"North Dakota, 2017",0.01973,0.09712,0.0091,0.00152,2017,"North Dakota",0.075,0,0,0.225,0.0302,0.0161,6e-04,0.0512,0.03953,0.17391,0.01186,0.00395
"36",0.15778,0.00222,0.00222,0.00222,"Ohio, 2017",0.10882,0.00188,0.00375,0.00375,2017,"Ohio",0.2077,0,0,0,0.1255,0.0233,4e-04,0.0019,0.27574,0.01838,0.00368,0
"37",0.26,0.04,0,0,"Oklahoma, 2017",0.08197,0.09836,0.01639,0,2017,"Oklahoma",0.2407,0,0,0.07407,0.0742,0.0224,0.0015,0.0833,0.21519,0.12658,0,0
"38",0.01852,0.01852,0.03704,0,"Oregon, 2017",0.03478,0.0087,0.0087,0,2017,"Oregon",0.0577,0.0192,0,0,0.0192,0.0458,0.004,0.0111,0.07273,0,0,0
"39",0.1567,0,0.00855,0.00855,"Pennsylvania, 2017",0.15645,0.00846,0.00211,0,2017,"Pennsylvania",0.2438,0.0149,0,0,0.1082,0.0351,3e-04,0.0014,0.28505,0,0.00467,0
"40",0.04403,0,0.01887,0,"Rhode Island, 2017",0.04979,0.00415,0.01245,0,2017,"Rhode Island",0.0204,0.0204,0,0,0.0591,0.0346,6e-04,0.0043,0.07075,0.00472,0.00943,0
"41",0.32258,0,0.01613,0,"South Carolina, 2017",0.30952,0,0,0,2017,"South Carolina",0.5965,0,0,0,0.2679,0.0166,6e-04,0.0037,0.46635,0,0,0.00481
"42",0.01667,0.11667,0.01667,0,"South Dakota, 2017",0.01835,0.20183,0.00917,0,2017,"South Dakota",0.0588,0,0,0.17647,0.0215,0.0158,5e-04,0.0834,0,0.18644,0,0.01695
"43",0.22628,0,0.0073,0,"Tennessee, 2017",0.24194,0,0.01613,0,2017,"Tennessee",0.3725,0,0,0,0.1677,0.0179,5e-04,0.0028,0.30682,0,0.01136,0
"44",0.16391,0.00301,0.01504,0.0015,"Texas, 2017",0.14286,0.00549,0.00137,0.00275,2017,"Texas",0.2429,0.0357,0,0.01071,0.1191,0.0486,8e-04,0.0032,0.32871,0.0099,0.0099,0
"45",0.02857,0,0.01429,0.01429,"Utah, 2017",0.01718,0.01031,0.01375,0.00687,2017,"Utah",0.0312,0.0208,0,0.01042,0.0112,0.0247,0.0095,0.0095,0.0354,0.00885,0,0
"46",0.04819,0,0,0,"Vermont, 2017",0.0121,0.00403,0.02016,0,2017,"Vermont",0.0541,0,0,0,0.0126,0.0187,3e-04,0.0033,0.05155,0.01031,0,0
"47",0.35556,0.01111,0,0,"Virginia, 2017",0.33588,0.01527,0.03053,0,2017,"Virginia",0.4697,0.0303,0,0,0.191,0.0663,7e-04,0.0026,0.31061,0.00758,0.02273,0
"48",0.11,0.028,0.022,0.008,"Washington, 2017",0.04511,0.05263,0.03008,0,2017,"Washington",0.2479,0.0331,0,0.04132,0.0386,0.088,0.0069,0.0128,0.18802,0.03993,0.01331,0.00333
"49",0.07692,0.02564,0,0,"West Virginia, 2017",0.07246,0.01449,0,0,2017,"West Virginia",0.0952,0,0,0,0.0348,0.0083,2e-04,0.0021,0.15909,0.04545,0,0
"50",0.24088,0.0146,0.0146,0,"Wisconsin, 2017",0.13665,0.01863,0.02484,0,2017,"Wisconsin",0.2188,0,0.0104,0.01042,0.0638,0.0291,4e-04,0.0089,0.26562,0.02344,0.00781,0
"51",0.11111,0.11111,0,0,"Wyoming, 2017",0,0.05172,0,0,2017,"Wyoming",0,0,0,0,0.0113,0.0096,7e-04,0.0211,0,0.15789,0,0
"52",0.3913,0.01449,0,0,"Alabama, 2016",0.35319,0,0.00426,0,2016,"Alabama",0.383,0,0.5532,0,0.2647,0.014,5e-04,0.0056,0.46341,0,0.00348,0
"53",0.06383,0.20213,0.01064,0.02128,"Alaska, 2016",0.07547,0.28302,0.01887,0,2016,"Alaska",0.2,0,0,0.2,0.0333,0.0614,0.0125,0.1446,0.09722,0.18056,0.01389,0.18056
"54",0.06085,0.00794,0.01323,0.00529,"Arizona, 2016",0.09204,0.0199,0.02239,0.00746,2016,"Arizona",0.1066,0.0082,0,0.0082,0.0423,0.033,0.0018,0.04,0.10256,0.02051,0.01026,0.02051
"55",0.21053,0,0.01316,0,"Arkansas, 2016",0.28571,0.0068,0,0,2016,"Arkansas",0.5455,0,0,0,0.1545,0.0156,0.0029,0.0074,0.328,0.008,0.008,0.008
"56",0.16398,0.01277,0.04973,0.00336,"California, 2016",0.0886,0.0041,0.0402,0.01313,2016,"California",0.2323,0.0487,0.0097,0.01113,0.0565,0.1426,0.0037,0.0042,0.18016,0.01305,0.04308,0.01305
"57",0.01515,0,0,0,"Colorado, 2016",0.05183,0.01524,0.0061,0.0061,2016,"Colorado",0.0455,0,0,0,0.04,0.0316,0.0013,0.0063,0.31579,0.01316,0.01316,0.01316
"58",0.12195,0,0,0,"Connecticut, 2016",0.10526,0,0,0,2016,"Connecticut",0.1389,0.0278,0,0,0.1003,0.0457,4e-04,0.0022,0.23932,0,0.02564,0
"59",0.30534,0.00763,0.00763,0,"Delaware, 2016",0.31609,0,0.01149,0.00575,2016,"Delaware",0.3571,0,0,0,0.2161,0.0389,4e-04,0.0031,0.37158,0,0.01093,0
"60",0.925,0,0,0,"District of Columbia, 2016",0.79121,0,0,0,2016,"District of Columbia",0.7941,0,0,0,0.4619,0.0405,5e-04,0.0021,0.81416,0.00885,0,0.00885
"61",0.14483,0.0092,0.0046,0,"Florida, 2016",0.1439,0.00732,0.00976,0.00244,2016,"Florida",0.2428,0.0058,0,0.00578,0.1557,0.0273,6e-04,0.0025,0.35714,0.01099,0.01099,0.01099
"62",0.54455,0,0.0099,0,"Georgia, 2016",0.46825,0,0.00397,0,2016,"Georgia",0.5,0.02,0,0.00667,0.3116,0.04,6e-04,0.0023,0.41129,0.01613,0.00806,0.01613
"63",0.02778,0,0.26389,0.11111,"Hawaii, 2016",0.01656,0,0.15563,0.04305,2016,"Hawaii",0.0175,0.2281,0.0526,0,0.0194,0.3649,0.0946,0.0021,0.03462,0.00385,0.15,0.00385
"64",0.00862,0.01724,0,0,"Idaho, 2016",0.02326,0.00775,0.00775,0,2016,"Idaho",0.0909,0,0,0.06061,0.0071,0.0142,0.0017,0.0112,0.00543,0.0163,0.01087,0.0163
"65",0.34633,0.0078,0.01872,0,"Illinois, 2016",0.25099,0.00528,0.0317,0,2016,"Illinois",0.25,0.0156,0.4062,0.03125,0.1413,0.0547,3e-04,0.0015,0.32288,0.0094,0.03448,0.0094
"66",0.19512,0,0,0,"Indiana, 2016",0.04202,0,0,0,2016,"Indiana",0.1905,0.0476,0,0,0.0936,0.0223,3e-04,0.0023,0.1875,0,0,0
"67",0.1129,0,0,0,"Iowa, 2016",0.04918,0.03279,0.01639,0.01639,2016,"Iowa",0.0345,0,0,0.03448,0.0355,0.0246,9e-04,0.003,0.14062,0.01562,0,0.01562
"68",0.125,0.00278,0.01667,0,"Kansas, 2016",0.0528,0.00621,0.01553,0.00311,2016,"Kansas",0.1642,0,0,0.01493,0.058,0.0299,8e-04,0.0079,0.11587,0.00756,0,0.00756
"69",0.15873,0,0,0,"Kentucky, 2016",0.09688,0.00312,0.00312,0,2016,"Kentucky",0.2222,0,0,0,0.0806,0.0149,6e-04,0.0021,0.28743,0,0,0
"70",0.45038,0.0229,0.00763,0,"Louisiana, 2016",0.40496,0,0.00413,0,2016,"Louisiana",0.4348,0.0109,0,0.02174,0.3213,0.0172,4e-04,0.0064,0.49206,0.00794,0,0.00794
"71",0.03311,0,0.01325,0,"Maine, 2016",0.01017,0.00762,0.00127,0,2016,"Maine",0.0202,0,0,0,0.0148,0.0119,3e-04,0.0065,0.02198,0.03297,0.00549,0.03297
"72",0.67532,0,0.02597,0,"Maryland, 2016",0.30198,0,0.01485,0,2016,"Maryland",0.4464,0.0268,0,0,0.2964,0.0637,5e-04,0.0024,0.63636,0,0,0
"73",0.08257,0.01835,0.00917,0,"Massachusetts, 2016",0.13542,0.00521,0.02604,0.00521,2016,"Massachusetts",0.1702,0.0319,0,0.01064,0.0706,0.0661,4e-04,0.0018,0.1413,0,0.02174,0
"74",0.33333,0,0.02222,0,"Michigan, 2016",0.34,0.02,0.01,0,2016,"Michigan",0.3913,0,0,0.0087,0.1384,0.0312,3e-04,0.0057,0.24444,0.02222,0.04444,0.02222
"75",0.22047,0.02362,0.03543,0,"Minnesota, 2016",0.1521,0.03236,0.00324,0.00971,2016,"Minnesota",0.1154,0,0,0,0.0617,0.0487,5e-04,0.0107,0.21675,0.05419,0.00985,0.05419
