"","Year","State","funding","workload","total_i_r","indiv_trained","indiv_helped"
"1",2011,"Alabama",165898,21,0,678,699
"2",2011,"Alaska",131917,68,0,341,409
"3",2011,"Arizona",230285,94,0,5387,5481
"4",2011,"Arkansas",131917,38,0,6828,6866
"5",2011,"California",1327440,910,0,1365,2275
"6",2011,"Colorado",183225,34,0,384,418
"7",2011,"Connecticut",131917,59,0,150,209
"8",2011,"Delaware",131917,20,0,238,258
"9",2011,"District of Columbia",131917,37,0,0,37
"10",2011,"District of Columbia",131917,37,0,0,37
"11",2011,"Florida",680553,340,0,6715,7055
"12",2011,"Georgia",345432,136,0,63,199
"13",2011,"Hawaii",131917,82,0,220,302
"14",2011,"Idaho",131917,63,0,80,143
"15",2011,"Illinois",440647,132,0,658,790
"16",2011,"Indiana",225680,79,0,0,79
"17",2011,"Iowa",131917,35,0,350,385
"18",2011,"Kansas",131917,136,0,3645,3781
"19",2011,"Kentucky",150985,62,0,80,142
"20",2011,"Louisiana",159066,106,0,0,106
"21",2011,"Maine",131917,93,0,75,168
"22",2011,"Maryland",204454,144,0,0,144
"23",2011,"Massachusetts",230762,146,0,3390,3536
"24",2011,"Michigan",339019,179,0,43,222
"25",2011,"Minnesota",186691,108,0,1025,1133
"26",2011,"Mississippi",131917,38,0,420,458
"27",2011,"Missouri",207437,98,0,678,776
"28",2011,"Montana",131917,120,0,280,400
"29",2011,"Nebraska",131917,43,0,290,333
"30",2011,"Nevada",131917,54,0,1193,1247
"31",2011,"New Hampshire",131917,35,0,60,95
"32",2011,"New Jersey",305777,117,0,3434,3551
"33",2011,"New Mexico",131917,25,0,411,436
"34",2011,"New York",675522,814,0,3076,3890
"35",2011,"North Carolina",340185,159,0,320,479
"36",2011,"North Dakota",131917,44,0,50,94
"37",2011,"Ohio",396639,172,0,21,193
"38",2011,"Oklahoma",132669,143,0,267,410
"39",2011,"Oregon",135823,38,0,205,243
"40",2011,"Pennsylvania",437453,223,0,1015,1238
"41",2011,"Rhode Island",131917,60,0,1276,1336
"42",2011,"South Carolina",165320,220,0,50,270
"43",2011,"South Dakota",131917,33,0,208,241
"44",2011,"Tennessee",224055,88,0,291,379
"45",2011,"Texas",922203,446,0,3497,3943
"46",2011,"Utah",131917,236,0,1779,2015
"47",2011,"Vermont",131917,81,0,0,81
"48",2011,"Virginia",284844,79,0,950,1029
"49",2011,"Washington",241576,232,0,1312,1544
"50",2011,"West Virginia",131917,44,0,141,185
"51",2011,"Wisconsin",196967,131,0,90,221
"52",2011,"Wyoming",131917,10,0,0,10
"53",2011,"Puerto Rico",131917,197,0,1766,1963
"54",2012,"Alabama",165898,31,0,1057,1088
"55",2012,"Alaska",131917,36,0,112,148
"56",2012,"Arizona",230285,136,0,4746,4882
"57",2012,"Arkansas",131917,34,0,6480,6514
"58",2012,"California",1327440,875,0,1261,2136
"59",2012,"Colorado",183225,38,0,372,410
"60",2012,"Connecticut",131917,26,0,131,157
"61",2012,"Delaware",131917,27,0,327,354
"62",2012,"District of Columbia",131917,62,0,0,62
"63",2012,"Florida",680553,526,0,3600,4126
"64",2012,"Georgia",345432,120,0,78,198
"65",2012,"Hawaii",131917,83,0,149,232
"66",2012,"Idaho",131917,48,0,450,498
"67",2012,"Illinois",440647,135,0,368,503
"68",2012,"Indiana",225680,59,0,392,451
"69",2012,"Iowa",131917,29,0,325,354
"70",2012,"Kansas",131917,100,0,5020,5120
"71",2012,"Kentucky",150985,56,0,156,212
"72",2012,"Louisiana",159066,156,0,0,156
"73",2012,"Maine",131917,88,0,120,208
"74",2012,"Maryland",204454,145,0,0,145
"75",2012,"Massachusetts",230762,153,0,2706,2859
"76",2012,"Michigan",339019,165,0,96,261
"77",2012,"Minnesota",186691,109,0,770,879
"78",2012,"Mississippi",131917,31,0,529,560
"79",2012,"Missouri",207437,71,0,299,370
"80",2012,"Montana",131917,110,0,217,327
"81",2012,"Nebraska",131917,50,0,1162,1212
"82",2012,"Nevada",131917,59,0,1205,1264
"83",2012,"New Hampshire",131917,42,0,65,107
"84",2012,"New Jersey",305777,104,0,2962,3066
"85",2012,"New Mexico",131917,70,0,446,516
"86",2012,"New York",675522,949,0,1554,2503
"87",2012,"North Carolina",340185,163,0,1400,1563
"88",2012,"North Dakota",131917,73,0,102,175
"89",2012,"Ohio",396639,196,0,93,289
"90",2012,"Oklahoma",132669,155,0,215,370
"91",2012,"Oregon",135823,55,0,210,265
"92",2012,"Pennsylvania",437453,236,0,1015,1251
"93",2012,"Rhode Island",131917,60,0,1385,1445
"94",2012,"South Carolina",165320,196,0,2100,2296
"95",2012,"South Dakota",131917,39,0,313,352
"96",2012,"Tennessee",224055,72,0,410,482
"97",2012,"Texas",922203,423,0,2545,2968
"98",2012,"Utah",131917,285,0,1359,1644
"99",2012,"Vermont",131917,67,0,143,210
"100",2012,"Virginia",284844,68,0,663,731
"101",2012,"Washington",241576,211,0,194,405
"102",2012,"West Virginia",131917,32,0,168,200
"103",2012,"Wisconsin",196967,174,0,530,704
"104",2012,"Wyoming",131917,20,0,0,20
"105",2012,"Puerto Rico",131917,235,0,3086,3321
"106",2013,"Alabama",165898,19,0,380,399
"107",2013,"Alaska",131917,25,0,88,113
"108",2013,"Arizona",230285,127,0,5334,5461
"109",2013,"Arkansas",131917,52,0,102,154
"110",2013,"California",1327440,1054,0,1918,2972
"111",2013,"Colorado",183225,36,0,896,932
"112",2013,"Connecticut",131917,42,0,90,132
"113",2013,"Delaware",131917,18,0,250,268
"114",2013,"District of Columbia",131917,43,0,0,43
"115",2013,"Florida",680553,369,0,2000,2369
"116",2013,"Georgia",345432,120,0,78,198
"117",2013,"Hawaii",131917,93,0,206,299
"118",2013,"Idaho",131917,43,0,0,43
"119",2013,"Illinois",440647,129,0,434,563
"120",2013,"Indiana",225680,67,0,105,172
"121",2013,"Iowa",131917,14,0,250,264
"122",2013,"Kansas",131917,84,0,4968,5052
"123",2013,"Kentucky",150985,49,0,130,179
"124",2013,"Louisiana",159066,122,0,325,447
"125",2013,"Maine",131917,96,0,99,195
"126",2013,"Maryland",204454,120,0,77,197
"127",2013,"Massachusetts",230762,123,0,3972,4095
"128",2013,"Michigan",339019,140,0,175,315
"129",2013,"Minnesota",186691,123,0,510,633
"130",2013,"Mississippi",131917,41,0,250,291
"131",2013,"Missouri",207437,72,0,0,72
"132",2013,"Montana",131917,98,0,115,213
"133",2013,"Nebraska",131917,35,0,225,260
"134",2013,"Nevada",131917,29,0,396,425
"135",2013,"New Hampshire",131917,34,0,35,69
"136",2013,"New Jersey",305777,105,0,44,149
"137",2013,"New Mexico",131917,32,0,331,363
"138",2013,"New York",675522,669,0,1186,1855
"139",2013,"North Carolina",340185,137,0,31,168
"140",2013,"North Dakota",131917,79,0,253,332
"141",2013,"Ohio",396639,360,0,246,606
"142",2013,"Oklahoma",132669,58,0,266,324
"143",2013,"Oregon",135823,45,0,350,395
"144",2013,"Pennsylvania",437453,225,0,1000,1225
"145",2013,"Rhode Island",131917,40,0,461,501
"146",2013,"South Carolina",165320,147,0,325,472
"147",2013,"South Dakota",131917,27,0,476,503
"148",2013,"Tennessee",224055,76,0,559,635
"149",2013,"Texas",922203,352,0,4449,4801
"150",2013,"Utah",131917,249,0,823,1072
"151",2013,"Vermont",131917,64,0,0,64
"152",2013,"Virginia",284844,55,0,421,476
"153",2013,"Washington",241576,207,0,191,398
"154",2013,"West Virginia",131917,23,0,0,23
"155",2013,"Wisconsin",196967,171,0,314,485
"156",2013,"Wyoming",131917,15,0,0,15
"157",2013,"Puerto Rico",131917,232,0,1155,1387
"158",2014,"Alabama",165898,13,0,328,341
"159",2014,"Alaska",131917,24,0,23,47
"160",2014,"Arizona",230285,132,0,744,876
"161",2014,"Arkansas",131917,34,0,273,307
"162",2014,"California",1327440,859,0,3064,3923
"163",2014,"Colorado",183225,27,0,0,27
"164",2014,"Connecticut",131917,41,0,122,163
"165",2014,"Delaware",131917,20,0,500,520
"166",2014,"District of Columbia",131917,46,0,0,46
"167",2014,"Florida",680553,313,0,125,438
"168",2014,"Georgia",345432,165,0,1522,1687
"169",2014,"Hawaii",131917,78,0,868,946
"170",2014,"Idaho",131917,32,0,63,95
"171",2014,"Illinois",440647,136,0,61,197
"172",2014,"Indiana",225680,37,0,136,173
"173",2014,"Iowa",131917,15,0,320,335
"174",2014,"Kansas",131917,92,0,0,92
"175",2014,"Kentucky",150985,52,0,41,93
"176",2014,"Louisiana",159066,93,0,605,698
"177",2014,"Maine",131917,112,0,58,170
"178",2014,"Maryland",204454,93,0,91,184
"179",2014,"Massachusetts",230762,104,0,3090,3194
"180",2014,"Michigan",339019,93,0,140,233
"181",2014,"Minnesota",186691,77,0,940,1017
"182",2014,"Mississippi",131917,30,0,0,30
"183",2014,"Missouri",207437,60,0,425,485
"184",2014,"Montana",131917,118,0,763,881
"185",2014,"Nebraska",131917,24,0,328,352
"186",2014,"Nevada",131917,38,0,0,38
"187",2014,"New Hampshire",131917,30,0,130,160
"188",2014,"New Jersey",305777,95,0,2042,2137
"189",2014,"New Mexico",131917,27,0,280,307
"190",2014,"New York",675522,360,0,540,900
"191",2014,"North Carolina",340185,117,0,0,117
"192",2014,"North Dakota",131917,44,0,249,293
"193",2014,"Ohio",396639,157,0,471,628
"194",2014,"Oklahoma",132669,54,0,262,316
"195",2014,"Oregon",135823,39,0,75,114
"196",2014,"Pennsylvania",437453,198,0,1000,1198
"197",2014,"Rhode Island",131917,46,0,0,46
"198",2014,"South Carolina",165320,137,0,1895,2032
"199",2014,"South Dakota",131917,20,0,0,20
"200",2014,"Tennessee",224055,34,0,203,237
"201",2014,"Texas",922203,564,0,4964,5528
"202",2014,"Utah",131917,189,0,1116,1305
"203",2014,"Vermont",131917,61,0,0,61
"204",2014,"Virginia",284844,67,0,344,411
"205",2014,"Washington",241576,231,0,128,359
"206",2014,"West Virginia",131917,24,0,61,85
"207",2014,"Wisconsin",196967,197,0,200,397
"208",2014,"Wyoming",131917,10,0,0,10
"209",2014,"Puerto Rico",131917,257,0,1679,1936
"210",2015,"Alabama",165898,28,24,850,902
"211",2015,"Alaska",131917,12,11,10,33
"212",2015,"Arizona",230285,131,200,138,469
"213",2015,"Arkansas",131917,32,35,4419,4486
"214",2015,"California",1327440,878,14546,973,16397
"215",2015,"Colorado",183225,25,28,422,475
"216",2015,"Connecticut",131917,27,29,212,268
"217",2015,"Delaware",131917,20,103,800,923
"218",2015,"District of Columbia",131917,42,39,75,156
"219",2015,"Florida",680553,188,201,760,1149
"220",2015,"Georgia",345432,121,1011,335,1467
"221",2015,"Hawaii",131917,78,32,221,331
"222",2015,"Idaho",131917,29,9,373,411
"223",2015,"Illinois",440647,139,1469,0,1608
"224",2015,"Indiana",225680,24,89,182,295
"225",2015,"Iowa",131917,35,131,336,502
"226",2015,"Kansas",131917,80,0,3553,3633
"227",2015,"Kentucky",150985,39,67,95,201
"228",2015,"Louisiana",159066,105,21,403,529
"229",2015,"Maine",131917,81,253,124,458
"230",2015,"Maryland",204454,113,718,169,1000
"231",2015,"Massachusetts",230762,131,3651,3074,6856
"232",2015,"Michigan",339019,132,224,35,391
"233",2015,"Minnesota",186691,53,25,960,1038
"234",2015,"Mississippi",131917,23,340,647,1010
"235",2015,"Missouri",207437,63,38,239,340
"236",2015,"Montana",131917,86,25,271,382
"237",2015,"Nebraska",131917,32,1012,274,1318
"238",2015,"Nevada",131917,48,85,188,321
"239",2015,"New Hampshire",131917,26,77,87,190
"240",2015,"New Jersey",305777,110,50,4251,4411
"241",2015,"New Mexico",131917,27,61,275,363
"242",2015,"New York",675522,408,117,630,1155
"243",2015,"North Carolina",340185,130,1323,274,1727
"244",2015,"North Dakota",131917,50,9,159,218
"245",2015,"Ohio",396639,147,17,234,398
"246",2015,"Oklahoma",132669,58,237,307,602
"247",2015,"Oregon",135823,56,75,0,131
"248",2015,"Pennsylvania",437453,193,1108,831,2132
"249",2015,"Rhode Island",131917,55,14,71,140
"250",2015,"South Carolina",165320,118,190,157,465
"251",2015,"South Dakota",131917,14,12,744,770
"252",2015,"Tennessee",224055,90,134,898,1122
"253",2015,"Texas",922203,297,124,9971,10392
"254",2015,"Utah",131917,167,76,216,459
"255",2015,"Vermont",131917,49,222,0,271
"256",2015,"Virginia",284844,98,257,5253,5608
"257",2015,"Washington",241576,171,1928,367,2466
"258",2015,"West Virginia",131917,18,8,115,141
"259",2015,"Wisconsin",196967,216,635,426,1277
"260",2015,"Wyoming",131917,12,9,350,371
"261",2015,"Puerto Rico",131917,258,3510,1682,5450
"262",2016,"Alabama",165898,47,1140,1028,2215
"263",2016,"Alaska",131917,6,25,0,31
"264",2016,"Arizona",230285,124,241,177,542
"265",2016,"Arkansas",131917,25,10,73,108
"266",2016,"California",1327440,746,7586,1345,9677
"267",2016,"Colorado",183225,22,23,1525,1570
"268",2016,"Connecticut",131917,38,20,318,376
"269",2016,"Delaware",131917,16,114,3000,3130
"270",2016,"District of Columbia",131917,36,32,60,128
"271",2016,"Florida",680553,180,153,681,1014
"272",2016,"Georgia",345432,155,965,88,1208
"273",2016,"Hawaii",131917,58,74,201,333
"274",2016,"Idaho",131917,37,7,394,438
"275",2016,"Illinois",440647,64,816,204,1084
"276",2016,"Indiana",225680,42,24,29,95
"277",2016,"Iowa",131917,29,69,901,999
"278",2016,"Kansas",131917,70,0,5224,5294
"279",2016,"Kentucky",150985,27,47,85,159
"280",2016,"Louisiana",159066,187,23,77,287
"281",2016,"Maine",131917,102,241,138,481
"282",2016,"Maryland",204454,112,693,40,845
"283",2016,"Massachusetts",230762,94,4005,2334,6433
"284",2016,"Michigan",339019,115,200,25,340
"285",2016,"Minnesota",186691,67,15,664,746
"286",2016,"Mississippi",131917,29,259,771,1059
"287",2016,"Missouri",207437,54,43,290,387
"288",2016,"Montana",131917,71,10,25,106
"289",2016,"Nebraska",131917,28,903,281,1212
"290",2016,"Nevada",131917,32,124,80,236
"291",2016,"New Hampshire",131917,34,93,171,298
"292",2016,"New Jersey",305777,105,17,240,362
"293",2016,"New Mexico",131917,33,64,250,347
"294",2016,"New York",675522,422,91,121,634
"295",2016,"North Carolina",340185,91,1181,245,1517
"296",2016,"North Dakota",131917,38,11,337,386
"297",2016,"Ohio",396639,162,56,495,713
"298",2016,"Oklahoma",132669,68,123,389,580
"299",2016,"Oregon",135823,63,68,15,146
"300",2016,"Pennsylvania",437453,196,1214,1819,3229
"301",2016,"Rhode Island",131917,56,8,115,179
"302",2016,"South Carolina",165320,135,263,207,605
"303",2016,"South Dakota",131917,21,32,486,539
"304",2016,"Tennessee",224055,75,36,886,997
"305",2016,"Texas",922203,286,108,4590,4984
"306",2016,"Utah",131917,106,65,341,512
"307",2016,"Vermont",131917,46,487,40,573
"308",2016,"Virginia",284844,108,152,1325,1585
"309",2016,"Washington",241576,208,1714,638,2560
"310",2016,"West Virginia",131917,22,30,153,205
"311",2016,"Wisconsin",196967,173,1426,133,1732
"312",2016,"Wyoming",131917,19,14,400,433
"313",2016,"Puerto Rico",131917,221,2423,1977,4621
"314",2017,"Alabama",164852,44,2080,1880,4004
"315",2017,"Alaska",131917,19,24,0,43
"316",2017,"Arizona",231658,143,88,91,322
"317",2017,"Arkansas",131917,39,29,230,298
"318",2017,"California",1328074,803,8648,1401,10852
"319",2017,"Colorado",185127,29,45,396,470
"320",2017,"Connecticut",131917,45,24,350,419
"321",2017,"Delaware",131917,21,114,3000,3135
"322",2017,"District of Columbia",131917,42,55,170,267
"323",2017,"Florida",687749,216,197,1002,1415
"324",2017,"Georgia",346562,89,869,12,970
"325",2017,"Hawaii",131917,50,77,323,450
"326",2017,"Idaho",131917,31,5,207,243
"327",2017,"Illinois",436304,68,1986,500,2554
"328",2017,"Indiana",224588,84,35,0,119
"329",2017,"Iowa",131917,30,361,337,728
"330",2017,"Kansas",131917,156,0,6482,6638
"331",2017,"Kentucky",150131,17,35,5,57
"332",2017,"Louisiana",158465,162,33,585,780
"333",2017,"Maine",131917,113,329,79,521
"334",2017,"Maryland",203781,117,674,36,827
"335",2017,"Massachusetts",230516,92,5199,3437,8728
"336",2017,"Michigan",336646,102,154,226,482
"337",2017,"Minnesota",186247,71,14,1336,1421
"338",2017,"Mississippi",131917,22,398,947,1367
"339",2017,"Missouri",206402,63,38,390,491
"340",2017,"Montana",131917,69,20,267,356
"341",2017,"Nebraska",131917,19,701,318,1038
"342",2017,"Nevada",131917,30,96,357,483
"343",2017,"New Hampshire",131917,48,68,200,316
"344",2017,"New Jersey",303921,105,46,205,356
"345",2017,"New Mexico",131917,29,59,268,356
"346",2017,"New York",671617,322,116,156,594
"347",2017,"North Carolina",340725,101,1506,656,2263
"348",2017,"North Dakota",131917,42,14,209,265
"349",2017,"Ohio",394012,140,18,948,1106
"350",2017,"Oklahoma",132701,56,61,1265,1382
"351",2017,"Oregon",136692,52,59,220,331
"352",2017,"Pennsylvania",434354,201,1016,2708,3925
"353",2017,"Rhode Island",131917,51,1,108,160
"354",2017,"South Carolina",166113,60,166,72,298
"355",2017,"South Dakota",131917,18,12,516,546
"356",2017,"Tennessee",223930,51,30,291,372
"357",2017,"Texas",931952,292,130,3500,3922
"358",2017,"Utah",131917,105,64,191,360
"359",2017,"Vermont",131917,38,248,77,363
"360",2017,"Virginia",284412,122,1904,1772,3798
"361",2017,"Washington",243270,121,1862,1058,3041
"362",2017,"West Virginia",131917,22,34,421,477
"363",2017,"Wisconsin",195806,98,1392,103,1593
"364",2017,"Wyoming",131917,16,29,601,646
"365",2017,"Puerto Rico",131917,131,2381,2135,4647
"366",2018,"Alabama",164096,43,2450,2250,4743
"367",2018,"Alaska",131917,12,23,0,35
"368",2018,"Arizona",233866,137,174,509,820
"369",2018,"Arkansas",131917,34,31,750,815
"370",2018,"California",1324362,863,15743,1064,17670
"371",2018,"Colorado",186947,24,11,662,697
"372",2018,"Connecticut",131917,15,16,292,323
"373",2018,"Delaware",131917,16,123,4000,4139
"374",2018,"District of Columbia",131917,34,42,101,177
"375",2018,"Florida",695498,236,148,507,891
"376",2018,"Georgia",347889,101,1880,150,2131
"377",2018,"Hawaii",131917,50,112,70,232
"378",2018,"Idaho",131917,39,3,254,296
"379",2018,"Illinois",431945,47,916,270,1233
"380",2018,"Indiana",223810,42,46,100,188
"381",2018,"Iowa",131917,26,248,495,769
"382",2018,"Kansas",131917,53,1,7829,7883
"383",2018,"Kentucky",149711,21,121,30,172
"384",2018,"Louisiana",157967,62,19,159,240
"385",2018,"Maine",131917,115,308,158,581
"386",2018,"Maryland",203005,54,853,80,987
"387",2018,"Massachusetts",229841,91,3941,4567,8599
"388",2018,"Michigan",334997,97,158,139,394
"389",2018,"Minnesota",186252,78,20,853,951
"390",2018,"Mississippi",131917,16,341,600,957
"391",2018,"Missouri",205588,58,36,364,458
"392",2018,"Montana",131917,49,18,655,722
"393",2018,"Nebraska",131917,27,671,246,944
"394",2018,"Nevada",131917,16,78,275,369
"395",2018,"New Hampshire",131917,60,57,250,367
"396",2018,"New Jersey",301801,114,47,2144,2305
"397",2018,"New Mexico",131917,54,102,272,428
"398",2018,"New York",666239,268,91,89,448
"399",2018,"North Carolina",342369,129,1315,11,1455
"400",2018,"North Dakota",131917,29,13,80,122
"401",2018,"Ohio",391888,108,49,1051,1208
"402",2018,"Oklahoma",132387,54,31,373,458
"403",2018,"Oregon",138120,78,44,30,152
"404",2018,"Pennsylvania",431361,231,1226,1506,2963
"405",2018,"Rhode Island",131917,37,2,45,84
"406",2018,"South Carolina",167396,52,38,452,542
"407",2018,"South Dakota",131917,5,37,328,370
"408",2018,"Tennessee",224422,57,37,360,454
"409",2018,"Texas",940130,300,187,5711,6198
"410",2018,"Utah",131917,68,35,585,688
"411",2018,"Vermont",131917,40,227,59,326
"412",2018,"Virginia",283828,74,1774,1698,3546
"413",2018,"Washington",245909,129,2316,864,3309
"414",2018,"West Virginia",131917,31,73,443,547
"415",2018,"Wisconsin",194983,93,743,75,911
"416",2018,"Wyoming",131917,10,24,1169,1203
"417",2018,"Puerto Rico",131917,86,2319,1278,3683
"418",2011,"American Samoa",59477,23,0,185,208
"419",2011,"Guam",59477,64,0,190,254
"420",2011,"Northern Marianas",59477,36,0,2115,2151
"421",2011,"Virgin Islands",59477,28,0,1166,1194
"422",2012,"American Samoa",59477,17,0,170,187
"423",2012,"Guam",59477,52,0,90,142
"424",2012,"Northern Marianas",59477,19,0,2331,2350
"425",2012,"Virgin Islands",59477,20,0,19,39
"426",2013,"Northern Marianas",59477,25,0,804,829
"427",2013,"American Samoa",59477,13,0,240,253
"428",2013,"Guam",59477,54,0,90,144
"429",2013,"Virgin Islands",59477,25,0,62,87
"430",2014,"Northern Marianas",59477,15,0,2506,2521
"431",2014,"American Samoa",59477,13,0,148,161
"432",2014,"Guam",59477,41,0,208,249
"433",2014,"Virgin Islands",59477,19,0,42,61
"434",2015,"Northern Marianas",59477,17,226,2799,3042
"435",2015,"American Samoa",59477,24,157,154,335
"436",2015,"Guam",59477,69,556,256,881
"437",2015,"Virgin Islands",59477,27,7,130,164
"438",2016,"Northern Marianas",59477,16,257,304,577
"439",2016,"American Samoa",59477,25,152,180,357
"440",2016,"Guam",59477,89,625,290,1004
"441",2016,"Virgin Islands",59477,38,2,50,90
"442",2017,"Northern Marianas",59477,14,13,3093,3120
"443",2017,"American Samoa",59477,23,172,220,415
"444",2017,"Guam",59477,62,741,206,1009
"445",2017,"Virgin Islands",59477,19,3,43,65
"446",2018,"Northern Marianas",59477,9,2,304,315
"447",2018,"American Samoa",59477,23,169,300,492
"448",2018,"Guam",59477,54,1424,340,1818
"449",2018,"Virgin Islands",59477,20,4,70,94
